generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
1,2024-10-08 16:53:42,2024-10-08 16:55:51,129,0.07605288276287842,6,6
2,2024-10-08 16:55:51,2024-10-08 16:58:08,137,0.07608117114898263,6,12
