Date,Canals to Kuraz Sugar Plantations
2035-01-01,57.31
2035-01-02,57.305
2035-01-03,57.315
2035-01-04,57.315
2035-01-05,57.315
2035-01-06,57.315
2035-01-07,57.32
2035-01-08,57.32
2035-01-09,57.32
2035-01-10,57.32
2035-01-11,57.32
2035-01-12,57.32
2035-01-13,57.325
2035-01-14,57.32
2035-01-15,57.325
2035-01-16,57.325
2035-01-17,57.335
2035-01-18,57.33
2035-01-19,57.335
2035-01-20,57.335
2035-01-21,57.345
2035-01-22,57.345
2035-01-23,57.345
2035-01-24,57.35
2035-01-25,57.345
2035-01-26,57.345
2035-01-27,57.345
2035-01-28,57.355000000000004
2035-01-29,57.355000000000004
2035-01-30,57.35
2035-01-31,57.36
2035-02-01,58.76
2035-02-02,58.754999999999995
2035-02-03,58.760000000000005
2035-02-04,58.77
2035-02-05,58.765
2035-02-06,58.77
2035-02-07,58.77
2035-02-08,58.775000000000006
2035-02-09,58.78
2035-02-10,58.78
2035-02-11,58.78
2035-02-12,58.79
2035-02-13,58.79
2035-02-14,58.795
2035-02-15,58.795
2035-02-16,58.79
2035-02-17,58.8
2035-02-18,58.81
2035-02-19,58.81
2035-02-20,58.82
2035-02-21,58.82
2035-02-22,58.82
2035-02-23,58.82
2035-02-24,58.82
2035-02-25,58.825
2035-02-26,58.83
2035-02-27,58.83
2035-02-28,58.83
2035-03-01,60.165
2035-03-02,60.17
2035-03-03,60.19
2035-03-04,60.19
2035-03-05,60.2
2035-03-06,60.21
2035-03-07,60.215
2035-03-08,60.235
2035-03-09,60.24
2035-03-10,60.245000000000005
2035-03-11,60.254999999999995
2035-03-12,60.265
2035-03-13,60.269999999999996
2035-03-14,60.29
2035-03-15,60.29
2035-03-16,60.3
2035-03-17,60.305
2035-03-18,60.315
2035-03-19,60.33
2035-03-20,60.335
2035-03-21,60.34
2035-03-22,60.35
2035-03-23,60.35
2035-03-24,60.370000000000005
2035-03-25,60.375
2035-03-26,60.385000000000005
2035-03-27,60.394999999999996
2035-03-28,60.4
2035-03-29,60.405
2035-03-30,60.43
2035-03-31,60.43
2035-04-01,61.68
2035-04-02,61.7
2035-04-03,61.705
2035-04-04,61.72
2035-04-05,61.74
2035-04-06,61.75
2035-04-07,61.76
2035-04-08,61.78
2035-04-09,61.795
2035-04-10,61.8
2035-04-11,61.82
2035-04-12,61.835
2035-04-13,61.85
2035-04-14,61.87
2035-04-15,61.875
2035-04-16,61.89
2035-04-17,61.91
2035-04-18,61.92
2035-04-19,61.925
2035-04-20,61.95
2035-04-21,61.965
2035-04-22,61.97
2035-04-23,61.99
2035-04-24,62.004999999999995
2035-04-25,62.025000000000006
2035-04-26,62.035
2035-04-27,62.045
2035-04-28,62.06
2035-04-29,62.08
2035-04-30,62.085
2035-05-01,63.19
2035-05-02,63.205
2035-05-03,63.205
2035-05-04,63.224999999999994
2035-05-05,63.235
2035-05-06,63.24
2035-05-07,63.26
2035-05-08,63.265
2035-05-09,63.27
2035-05-10,63.295
2035-05-11,63.3
2035-05-12,63.31
2035-05-13,63.31
2035-05-14,63.325
2035-05-15,63.34
2035-05-16,63.35
2035-05-17,63.36
2035-05-18,63.37
2035-05-19,63.38
2035-05-20,63.394999999999996
2035-05-21,63.41
2035-05-22,63.415
2035-05-23,63.42
2035-05-24,63.425
2035-05-25,63.45
2035-05-26,63.455
2035-05-27,63.46
2035-05-28,63.48
2035-05-29,63.485
2035-05-30,63.495000000000005
2035-05-31,63.515
2035-06-01,64.32499999999999
2035-06-02,64.31
2035-06-03,64.285
2035-06-04,64.255
2035-06-05,64.24
2035-06-06,64.215
2035-06-07,64.185
2035-06-08,64.17
2035-06-09,64.14500000000001
2035-06-10,64.11500000000001
2035-06-11,64.1
2035-06-12,64.07499999999999
2035-06-13,64.045
2035-06-14,64.03
2035-06-15,64.005
2035-06-16,63.980000000000004
2035-06-17,63.96
2035-06-18,63.93
2035-06-19,63.91
2035-06-20,63.89
2035-06-21,63.86
2035-06-22,63.84
2035-06-23,63.815
2035-06-24,63.8
2035-06-25,63.769999999999996
2035-06-26,63.745000000000005
2035-06-27,63.730000000000004
2035-06-28,63.7
2035-06-29,63.675
2035-06-30,63.655
2035-07-01,63.995000000000005
2035-07-02,63.865
2035-07-03,63.775
2035-07-04,63.675
2035-07-05,63.575
2035-07-06,63.485
2035-07-07,63.385
2035-07-08,63.290000000000006
2035-07-09,63.195
2035-07-10,63.095
2035-07-11,62.995000000000005
2035-07-12,62.905
2035-07-13,62.89
2035-07-14,62.89
2035-07-15,62.89
2035-07-16,62.89
2035-07-17,62.89
2035-07-18,62.89
2035-07-19,62.89
2035-07-20,62.89
2035-07-21,62.89
2035-07-22,62.89
2035-07-23,62.89
2035-07-24,62.89
2035-07-25,62.89
2035-07-26,62.89
2035-07-27,62.89
2035-07-28,62.89
2035-07-29,62.89
2035-07-30,62.89
2035-07-31,62.89
2035-08-01,62.86
2035-08-02,62.86
2035-08-03,62.86
2035-08-04,62.86
2035-08-05,62.86
2035-08-06,62.86
2035-08-07,62.86
2035-08-08,62.86
2035-08-09,62.86
2035-08-10,62.86
2035-08-11,62.86
2035-08-12,62.86
2035-08-13,62.86
2035-08-14,62.86
2035-08-15,62.86
2035-08-16,62.86
2035-08-17,62.86
2035-08-18,62.86
2035-08-19,62.86
2035-08-20,62.86
2035-08-21,62.86
2035-08-22,62.86
2035-08-23,62.86
2035-08-24,62.86
2035-08-25,62.86
2035-08-26,62.86
2035-08-27,62.86
2035-08-28,62.86
2035-08-29,62.86
2035-08-30,62.86
2035-08-31,62.86
2035-09-01,62.47
2035-09-02,62.47
2035-09-03,62.47
2035-09-04,62.47
2035-09-05,62.47
2035-09-06,62.47
2035-09-07,62.47
2035-09-08,62.47
2035-09-09,62.47
2035-09-10,62.47
2035-09-11,62.47
2035-09-12,62.47
2035-09-13,62.47
2035-09-14,62.47
2035-09-15,62.47
2035-09-16,62.47
2035-09-17,62.47
2035-09-18,62.47
2035-09-19,62.47
2035-09-20,62.47
2035-09-21,62.47
2035-09-22,62.47
2035-09-23,62.47
2035-09-24,62.47
2035-09-25,62.47
2035-09-26,62.47
2035-09-27,62.47
2035-09-28,62.47
2035-09-29,62.47
2035-09-30,62.47
2035-10-01,61.78
2035-10-02,61.78
2035-10-03,61.78
2035-10-04,61.78
2035-10-05,61.78
2035-10-06,61.78
2035-10-07,61.78
2035-10-08,61.78
2035-10-09,61.78
2035-10-10,61.78
2035-10-11,61.78
2035-10-12,61.78
2035-10-13,61.78
2035-10-14,61.78
2035-10-15,61.78
2035-10-16,61.78
2035-10-17,61.78
2035-10-18,61.78
2035-10-19,61.78
2035-10-20,61.78
2035-10-21,61.78
2035-10-22,61.78
2035-10-23,61.78
2035-10-24,61.78
2035-10-25,61.78
2035-10-26,61.78
2035-10-27,61.78
2035-10-28,61.78
2035-10-29,61.78
2035-10-30,61.78
2035-10-31,61.78
2035-11-01,60.885000000000005
2035-11-02,60.885000000000005
2035-11-03,60.89
2035-11-04,60.885000000000005
2035-11-05,60.885000000000005
2035-11-06,60.885000000000005
2035-11-07,60.89
2035-11-08,60.89
2035-11-09,60.885000000000005
2035-11-10,60.885000000000005
2035-11-11,60.885000000000005
2035-11-12,60.89
2035-11-13,60.885000000000005
2035-11-14,60.885000000000005
2035-11-15,60.89
2035-11-16,60.885000000000005
2035-11-17,60.885000000000005
2035-11-18,60.885000000000005
2035-11-19,60.89
2035-11-20,60.89
2035-11-21,60.885000000000005
2035-11-22,60.885000000000005
2035-11-23,60.89
2035-11-24,60.89
2035-11-25,60.885000000000005
2035-11-26,60.885000000000005
2035-11-27,60.885000000000005
2035-11-28,60.89
2035-11-29,60.89
2035-11-30,60.885000000000005
2035-12-01,59.870000000000005
2035-12-02,59.875
2035-12-03,59.879999999999995
2035-12-04,59.879999999999995
2035-12-05,59.89
2035-12-06,59.89
2035-12-07,59.89
2035-12-08,59.89
2035-12-09,59.89
2035-12-10,59.894999999999996
2035-12-11,59.9
2035-12-12,59.9
2035-12-13,59.9
2035-12-14,59.9
2035-12-15,59.9
2035-12-16,59.92
2035-12-17,59.92
2035-12-18,59.91
2035-12-19,59.92
2035-12-20,59.92
2035-12-21,59.92
2035-12-22,59.93
2035-12-23,59.93
2035-12-24,59.93
2035-12-25,59.93
2035-12-26,59.94
2035-12-27,59.94
2035-12-28,59.94
2035-12-29,59.945
2035-12-30,59.94
2035-12-31,59.95
