Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2031-01-01,68.54,0.0
2031-01-02,68.54,0.0
2031-01-03,68.54,0.0
2031-01-04,68.54,0.0
2031-01-05,68.54,0.0
2031-01-06,68.54,0.0
2031-01-07,68.54,0.0
2031-01-08,68.54,0.0
2031-01-09,68.54,0.0
2031-01-10,68.54,0.0
2031-01-11,68.54,0.0
2031-01-12,68.54,0.0
2031-01-13,68.54,0.0
2031-01-14,68.54,0.0
2031-01-15,68.54,0.0
2031-01-16,68.54,0.0
2031-01-17,68.54,0.0
2031-01-18,68.54,0.0
2031-01-19,68.54,0.0
2031-01-20,68.54,0.0
2031-01-21,68.54,0.0
2031-01-22,68.54,0.0
2031-01-23,68.54,0.0
2031-01-24,68.54,0.0
2031-01-25,68.54,0.0
2031-01-26,68.54,0.0
2031-01-27,68.54,0.0
2031-01-28,68.54,0.0
2031-01-29,68.54,0.0
2031-01-30,68.54,0.0
2031-01-31,68.54,0.0
2031-02-01,27.0,0.0
2031-02-02,27.0,0.0
2031-02-03,27.0,0.0
2031-02-04,27.0,0.0
2031-02-05,27.0,0.0
2031-02-06,27.0,0.0
2031-02-07,27.0,0.0
2031-02-08,27.0,0.0
2031-02-09,27.0,0.0
2031-02-10,27.0,0.0
2031-02-11,27.0,0.0
2031-02-12,27.0,0.0
2031-02-13,27.0,0.0
2031-02-14,27.0,0.0
2031-02-15,27.0,0.0
2031-02-16,27.0,0.0
2031-02-17,27.0,0.0
2031-02-18,27.0,0.0
2031-02-19,27.0,0.0
2031-02-20,27.0,0.0
2031-02-21,27.0,0.0
2031-02-22,27.0,0.0
2031-02-23,27.0,0.0
2031-02-24,27.0,0.0
2031-02-25,27.0,0.0
2031-02-26,27.0,0.0
2031-02-27,27.0,0.0
2031-02-28,27.0,0.0
2031-03-01,0.0,0.0
2031-03-02,0.0,0.0
2031-03-03,0.0,0.0
2031-03-04,0.0,0.0
2031-03-05,0.0,0.0
2031-03-06,0.0,0.0
2031-03-07,0.0,0.0
2031-03-08,0.0,0.0
2031-03-09,0.0,0.0
2031-03-10,0.0,0.0
2031-03-11,0.0,0.0
2031-03-12,0.0,0.0
2031-03-13,0.0,0.0
2031-03-14,0.0,0.0
2031-03-15,0.0,0.0
2031-03-16,0.0,0.0
2031-03-17,0.0,0.0
2031-03-18,0.0,0.0
2031-03-19,0.0,0.0
2031-03-20,0.0,0.0
2031-03-21,0.0,0.0
2031-03-22,0.0,0.0
2031-03-23,0.0,0.0
2031-03-24,0.0,0.0
2031-03-25,0.0,0.0
2031-03-26,0.0,0.0
2031-03-27,0.0,0.0
2031-03-28,0.0,0.0
2031-03-29,0.0,0.0
2031-03-30,0.0,0.0
2031-03-31,0.0,0.0
2031-04-01,0.0,0.0
2031-04-02,0.0,0.0
2031-04-03,0.0,0.0
2031-04-04,0.0,0.0
2031-04-05,0.0,0.0
