Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2034-01-01,62.36,0.0
2034-01-02,62.36,0.0
2034-01-03,62.36,0.0
2034-01-04,62.36,0.0
2034-01-05,62.36,0.0
2034-01-06,62.36,0.0
2034-01-07,62.36,0.0
2034-01-08,62.36,0.0
2034-01-09,62.36,0.0
2034-01-10,62.36,0.0
2034-01-11,62.36,0.0
2034-01-12,62.36,0.0
2034-01-13,62.36,0.0
2034-01-14,62.36,0.0
2034-01-15,62.36,0.0
2034-01-16,62.36,0.0
2034-01-17,62.36,0.0
2034-01-18,62.36,0.0
2034-01-19,62.36,0.0
2034-01-20,62.36,0.0
2034-01-21,62.36,0.0
2034-01-22,62.36,0.0
2034-01-23,62.36,0.0
2034-01-24,62.36,0.0
2034-01-25,62.36,0.0
2034-01-26,62.36,0.0
2034-01-27,62.36,0.0
2034-01-28,62.36,0.0
2034-01-29,62.36,0.0
2034-01-30,62.36,0.0
2034-01-31,62.36,0.0
2034-02-01,33.86,0.0
2034-02-02,33.86,0.0
2034-02-03,33.86,0.0
2034-02-04,33.86,0.0
2034-02-05,33.86,0.0
2034-02-06,33.86,0.0
2034-02-07,33.86,0.0
2034-02-08,33.86,0.0
2034-02-09,33.86,0.0
2034-02-10,33.86,0.0
2034-02-11,33.86,0.0
2034-02-12,33.86,0.0
2034-02-13,33.86,0.0
2034-02-14,33.86,0.0
2034-02-15,33.86,0.0
2034-02-16,33.86,0.0
2034-02-17,33.86,0.0
2034-02-18,33.86,0.0
2034-02-19,33.86,0.0
2034-02-20,33.86,0.0
2034-02-21,33.86,0.0
2034-02-22,33.86,0.0
2034-02-23,33.86,0.0
2034-02-24,33.86,0.0
2034-02-25,33.86,0.0
2034-02-26,33.86,0.0
2034-02-27,33.86,0.0
2034-02-28,33.86,0.0
2034-03-01,0.0,0.0
2034-03-02,0.0,0.0
2034-03-03,0.0,0.0
2034-03-04,0.0,0.0
2034-03-05,0.0,0.0
2034-03-06,0.0,0.0
