Date,Canals to Kuraz Sugar Plantations
2029-10-05,61.78
2029-10-06,61.78
2029-10-07,61.78
2029-10-08,61.78
2029-10-09,61.78
2029-10-10,61.78
2029-10-11,61.78
2029-10-12,61.78
2029-10-13,61.78
2029-10-14,61.78
2029-10-15,61.78
2029-10-16,61.78
2029-10-17,61.78
2029-10-18,61.78
2029-10-19,61.78
2029-10-20,61.78
2029-10-21,61.78
2029-10-22,61.78
2029-10-23,61.78
2029-10-24,61.78
2029-10-25,61.78
2029-10-26,61.78
2029-10-27,61.78
2029-10-28,61.78
2029-10-29,61.78
2029-10-30,61.78
2029-10-31,61.78
2029-11-01,60.885000000000005
2029-11-02,60.89
2029-11-03,60.89
2029-11-04,60.885000000000005
2029-11-05,60.885000000000005
2029-11-06,60.89
2029-11-07,60.89
2029-11-08,60.885000000000005
2029-11-09,60.885000000000005
2029-11-10,60.885000000000005
2029-11-11,60.89
2029-11-12,60.89
2029-11-13,60.885000000000005
2029-11-14,60.885000000000005
2029-11-15,60.885000000000005
2029-11-16,60.885000000000005
2029-11-17,60.89
2029-11-18,60.89
2029-11-19,60.885000000000005
2029-11-20,60.885000000000005
2029-11-21,60.885000000000005
2029-11-22,60.89
2029-11-23,60.885000000000005
2029-11-24,60.885000000000005
2029-11-25,60.885000000000005
2029-11-26,60.89
2029-11-27,60.89
2029-11-28,60.885000000000005
2029-11-29,60.885000000000005
2029-11-30,60.885000000000005
2029-12-01,59.88
2029-12-02,59.875
2029-12-03,59.879999999999995
2029-12-04,59.89
2029-12-05,59.89
2029-12-06,59.89
2029-12-07,59.89
2029-12-08,59.89
2029-12-09,59.89
2029-12-10,59.894999999999996
2029-12-11,59.9
2029-12-12,59.9
2029-12-13,59.9
2029-12-14,59.9
2029-12-15,59.9
2029-12-16,59.92
2029-12-17,59.92
2029-12-18,59.915
2029-12-19,59.92
2029-12-20,59.92
2029-12-21,59.92
2029-12-22,59.93
2029-12-23,59.93
2029-12-24,59.93
2029-12-25,59.93
2029-12-26,59.94
2029-12-27,59.94
2029-12-28,59.945
2029-12-29,59.945
2029-12-30,59.94
2029-12-31,59.96
2030-01-01,57.31
2030-01-02,57.305
2030-01-03,57.315
2030-01-04,57.315
2030-01-05,57.315
2030-01-06,57.315
2030-01-07,57.32
2030-01-08,57.32
2030-01-09,57.32
2030-01-10,57.32
2030-01-11,57.32
2030-01-12,57.32
2030-01-13,57.325
2030-01-14,57.325
2030-01-15,57.325
2030-01-16,57.32
2030-01-17,57.335
2030-01-18,57.33
2030-01-19,57.335
2030-01-20,57.335
2030-01-21,57.345
2030-01-22,57.345
2030-01-23,57.345
2030-01-24,57.35
2030-01-25,57.345
2030-01-26,57.345
2030-01-27,57.345
2030-01-28,57.355000000000004
2030-01-29,57.355000000000004
2030-01-30,57.35
2030-01-31,57.36
2030-02-01,58.76
2030-02-02,58.754999999999995
2030-02-03,58.760000000000005
2030-02-04,58.77
2030-02-05,58.765
2030-02-06,58.77
2030-02-07,58.77
2030-02-08,58.775000000000006
2030-02-09,58.78
2030-02-10,58.78
2030-02-11,58.78
2030-02-12,58.79
2030-02-13,58.79
2030-02-14,58.795
2030-02-15,58.795
2030-02-16,58.79
2030-02-17,58.8
2030-02-18,58.81
2030-02-19,58.81
2030-02-20,58.82
2030-02-21,58.815
2030-02-22,58.82
2030-02-23,58.82
2030-02-24,58.82
2030-02-25,58.825
2030-02-26,58.83
2030-02-27,58.83
2030-02-28,58.83
2030-03-01,60.165
2030-03-02,60.17
2030-03-03,60.19
2030-03-04,60.19
2030-03-05,60.2
2030-03-06,60.21
2030-03-07,60.215
2030-03-08,60.235
2030-03-09,60.24
2030-03-10,60.245000000000005
2030-03-11,60.254999999999995
2030-03-12,60.265
2030-03-13,60.269999999999996
2030-03-14,60.29
2030-03-15,60.29
2030-03-16,60.3
2030-03-17,60.305
2030-03-18,60.315
2030-03-19,60.33
2030-03-20,60.335
2030-03-21,60.34
2030-03-22,60.35
2030-03-23,60.35
2030-03-24,60.370000000000005
2030-03-25,60.375
2030-03-26,60.385000000000005
2030-03-27,60.394999999999996
2030-03-28,60.4
2030-03-29,60.405
2030-03-30,60.43
2030-03-31,60.43
2030-04-01,61.68
2030-04-02,61.7
2030-04-03,61.705
2030-04-04,61.72
2030-04-05,61.74
2030-04-06,61.75
2030-04-07,61.76
2030-04-08,61.78
2030-04-09,61.795
2030-04-10,61.8
2030-04-11,61.82
2030-04-12,61.835
2030-04-13,61.85
2030-04-14,61.87
2030-04-15,61.875
2030-04-16,61.89
2030-04-17,61.91
2030-04-18,61.92
2030-04-19,61.925
2030-04-20,61.95
2030-04-21,61.965
2030-04-22,61.97
2030-04-23,61.99
2030-04-24,62.004999999999995
2030-04-25,62.025000000000006
2030-04-26,62.035
2030-04-27,62.045
2030-04-28,62.06
2030-04-29,62.08
2030-04-30,62.09
2030-05-01,63.19
2030-05-02,63.205
2030-05-03,63.215
2030-05-04,63.224999999999994
2030-05-05,63.235
2030-05-06,63.24
2030-05-07,63.26
2030-05-08,63.265
2030-05-09,63.27
2030-05-10,63.295
2030-05-11,63.3
2030-05-12,63.31
2030-05-13,63.31
2030-05-14,63.325
2030-05-15,63.34
2030-05-16,63.35
2030-05-17,63.36
2030-05-18,63.37
2030-05-19,63.38
2030-05-20,63.394999999999996
2030-05-21,63.41
2030-05-22,63.415
2030-05-23,63.42
2030-05-24,63.425
2030-05-25,63.45
2030-05-26,63.455
2030-05-27,63.46
2030-05-28,63.48
2030-05-29,63.485
2030-05-30,63.495000000000005
2030-05-31,63.510000000000005
2030-06-01,64.32499999999999
2030-06-02,64.31
2030-06-03,64.285
2030-06-04,64.255
2030-06-05,64.24
2030-06-06,64.215
2030-06-07,64.185
2030-06-08,64.17
2030-06-09,64.14500000000001
2030-06-10,64.11500000000001
2030-06-11,64.1
