Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2030-01-01,69.39,0.0
2030-01-02,69.39,0.0
2030-01-03,69.39,0.0
2030-01-04,69.39,0.0
2030-01-05,69.39,0.0
2030-01-06,69.39,0.0
2030-01-07,69.39,0.0
2030-01-08,69.39,0.0
2030-01-09,69.39,0.0
2030-01-10,69.39,0.0
2030-01-11,69.39,0.0
2030-01-12,69.39,0.0
2030-01-13,69.39,0.0
2030-01-14,69.39,0.0
2030-01-15,69.39,0.0
2030-01-16,69.39,0.0
2030-01-17,69.39,0.0
2030-01-18,69.39,0.0
2030-01-19,69.39,0.0
2030-01-20,69.39,0.0
2030-01-21,69.39,0.0
2030-01-22,69.39,0.0
2030-01-23,69.39,0.0
2030-01-24,69.39,0.0
2030-01-25,69.39,0.0
2030-01-26,69.39,0.0
2030-01-27,69.39,0.0
2030-01-28,69.39,0.0
2030-01-29,69.39,0.0
2030-01-30,69.39,0.0
2030-01-31,69.39,0.0
2030-02-01,47.7,0.0
2030-02-02,47.7,0.0
2030-02-03,47.7,0.0
2030-02-04,47.7,0.0
2030-02-05,47.7,0.0
2030-02-06,47.7,0.0
2030-02-07,47.7,0.0
2030-02-08,47.7,0.0
2030-02-09,47.7,0.0
2030-02-10,47.7,0.0
2030-02-11,47.7,0.0
2030-02-12,47.7,0.0
2030-02-13,47.7,0.0
2030-02-14,47.7,0.0
2030-02-15,47.7,0.0
2030-02-16,47.7,0.0
2030-02-17,47.7,0.0
2030-02-18,47.7,0.0
2030-02-19,47.7,0.0
2030-02-20,47.7,0.0
2030-02-21,47.7,0.0
2030-02-22,47.7,0.0
2030-02-23,47.7,0.0
2030-02-24,47.7,0.0
2030-02-25,47.7,0.0
2030-02-26,47.7,0.0
2030-02-27,47.7,0.0
2030-02-28,47.7,0.0
2030-03-01,0.0,0.0
2030-03-02,0.0,0.0
2030-03-03,0.0,0.0
2030-03-04,0.0,0.0
2030-03-05,0.0,0.0
2030-03-06,0.0,0.0
2030-03-07,0.0,0.0
2030-03-08,0.0,0.0
2030-03-09,0.0,0.0
2030-03-10,0.0,0.0
