Date,Canals to Kuraz Sugar Plantations
2030-01-01,51.66
2030-01-02,51.655
2030-01-03,51.655
2030-01-04,51.655
2030-01-05,51.655
2030-01-06,51.665
2030-01-07,51.665
2030-01-08,51.665
2030-01-09,51.66
2030-01-10,51.665
2030-01-11,51.665
2030-01-12,51.665
2030-01-13,51.665
2030-01-14,51.665
2030-01-15,51.665
2030-01-16,51.675
2030-01-17,51.67
2030-01-18,51.675
2030-01-19,51.675
2030-01-20,51.675
2030-01-21,51.675
2030-01-22,51.68
2030-01-23,51.675
2030-01-24,51.675
2030-01-25,51.675
2030-01-26,51.675
2030-01-27,51.685
2030-01-28,51.685
2030-01-29,51.685
2030-01-30,51.685
2030-01-31,51.685
2030-02-01,52.34
2030-02-02,52.34
2030-02-03,52.34
2030-02-04,52.34
2030-02-05,52.35
2030-02-06,52.35
2030-02-07,52.35
2030-02-08,52.35
2030-02-09,52.35
2030-02-10,52.35
2030-02-11,52.355000000000004
2030-02-12,52.35
2030-02-13,52.35
2030-02-14,52.355000000000004
2030-02-15,52.35
2030-02-16,52.35
2030-02-17,52.37
2030-02-18,52.364999999999995
2030-02-19,52.36
2030-02-20,52.36
2030-02-21,52.36
2030-02-22,52.364999999999995
2030-02-23,52.38
2030-02-24,52.38
2030-02-25,52.38
2030-02-26,52.37
2030-02-27,52.37
2030-02-28,52.37
2030-03-01,53.185
2030-03-02,53.19
2030-03-03,53.19
2030-03-04,53.2
2030-03-05,53.2
2030-03-06,53.2
2030-03-07,53.2
2030-03-08,53.2
2030-03-09,53.215
2030-03-10,53.21
2030-03-11,53.22
2030-03-12,53.224999999999994
2030-03-13,53.22
2030-03-14,53.24
2030-03-15,53.23
2030-03-16,53.239999999999995
2030-03-17,53.245000000000005
2030-03-18,53.25
2030-03-19,53.26
2030-03-20,53.254999999999995
2030-03-21,53.27
2030-03-22,53.27
2030-03-23,53.269999999999996
2030-03-24,53.28
2030-03-25,53.28
2030-03-26,53.28
2030-03-27,53.28
2030-03-28,53.285
2030-03-29,53.29
2030-03-30,53.29
2030-03-31,53.3
2030-04-01,54.24
2030-04-02,54.25
2030-04-03,54.25
2030-04-04,54.26
2030-04-05,54.265
2030-04-06,54.27
2030-04-07,54.27
2030-04-08,54.27
2030-04-09,54.285
2030-04-10,54.28
2030-04-11,54.295
2030-04-12,54.3
2030-04-13,54.305
2030-04-14,54.32
2030-04-15,54.32
2030-04-16,54.33
2030-04-17,54.33
2030-04-18,54.33
2030-04-19,54.34
2030-04-20,54.34
2030-04-21,54.35
2030-04-22,54.355000000000004
2030-04-23,54.36
2030-04-24,54.364999999999995
2030-04-25,54.37
2030-04-26,54.375
