generation,start_time,end_time,duration,hypervolume,population_size,total_evaluations
1,2024-10-08 15:27:31,2024-10-08 15:29:30,119,0.0828196149362283,6,6
2,2024-10-08 15:29:30,2024-10-08 15:31:49,139,0.08158996729419354,6,12
