Date,Canals to Kuraz Sugar Plantations,Outflow to Lake Turkana
2029-08-06,100.0,30.1
2029-08-07,100.0,30.1
2029-08-08,100.0,30.1
2029-08-09,100.0,30.1
2029-08-10,100.0,30.1
2029-08-11,100.0,30.1
2029-08-12,100.0,30.1
2029-08-13,100.0,30.1
2029-08-14,100.0,30.1
2029-08-15,100.0,30.1
2029-08-16,100.0,30.1
2029-08-17,100.0,30.1
2029-08-18,100.0,30.1
2029-08-19,100.0,30.1
2029-08-20,100.0,30.1
2029-08-21,100.0,30.1
2029-08-22,100.0,30.1
2029-08-23,100.0,30.1
2029-08-24,100.0,30.1
2029-08-25,100.0,30.1
2029-08-26,100.0,30.1
2029-08-27,100.0,30.1
2029-08-28,100.0,30.1
2029-08-29,100.0,30.1
2029-08-30,100.0,30.1
2029-08-31,100.0,30.1
2029-09-01,100.0,0.0
2029-09-02,100.0,0.0
2029-09-03,100.0,0.0
2029-09-04,100.0,0.0
2029-09-05,100.0,0.0
2029-09-06,100.0,0.0
2029-09-07,100.0,0.0
2029-09-08,100.0,0.0
2029-09-09,100.0,0.0
2029-09-10,100.0,0.0
2029-09-11,100.0,0.0
2029-09-12,100.0,0.0
2029-09-13,100.0,0.0
2029-09-14,100.0,0.0
2029-09-15,100.0,0.0
2029-09-16,100.0,0.0
2029-09-17,100.0,0.0
2029-09-18,100.0,0.0
2029-09-19,100.0,0.0
2029-09-20,100.0,0.0
2029-09-21,100.0,0.0
2029-09-22,100.0,0.0
2029-09-23,100.0,0.0
2029-09-24,100.0,0.0
2029-09-25,100.0,0.0
2029-09-26,100.0,0.0
2029-09-27,100.0,0.0
2029-09-28,100.0,0.0
2029-09-29,100.0,0.0
2029-09-30,100.0,0.0
2029-10-01,100.0,0.0
2029-10-02,100.0,0.0
2029-10-03,100.0,0.0
2029-10-04,100.0,0.0
2029-10-05,100.0,0.0
2029-10-06,100.0,0.0
2029-10-07,100.0,0.0
2029-10-08,100.0,0.0
2029-10-09,100.0,0.0
2029-10-10,100.0,0.0
2029-10-11,100.0,0.0
2029-10-12,100.0,0.0
2029-10-13,100.0,0.0
2029-10-14,100.0,0.0
2029-10-15,100.0,0.0
2029-10-16,100.0,0.0
2029-10-17,100.0,0.0
2029-10-18,100.0,0.0
2029-10-19,100.0,0.0
2029-10-20,100.0,0.0
2029-10-21,100.0,0.0
2029-10-22,100.0,0.0
2029-10-23,100.0,0.0
2029-10-24,100.0,0.0
2029-10-25,100.0,0.0
2029-10-26,100.0,0.0
2029-10-27,100.0,0.0
2029-10-28,100.0,0.0
2029-10-29,100.0,0.0
2029-10-30,100.0,0.0
2029-10-31,100.0,0.0
2029-11-01,100.0,0.0
2029-11-02,100.0,0.0
2029-11-03,100.0,0.0
2029-11-04,100.0,0.0
2029-11-05,100.0,0.0
2029-11-06,100.0,0.0
2029-11-07,100.0,0.0
2029-11-08,100.0,0.0
2029-11-09,100.0,0.0
2029-11-10,100.0,0.0
2029-11-11,100.0,0.0
2029-11-12,100.0,0.0
2029-11-13,100.0,0.0
2029-11-14,100.0,0.0
2029-11-15,100.0,0.0
2029-11-16,100.0,0.0
2029-11-17,100.0,0.0
2029-11-18,100.0,0.0
2029-11-19,100.0,0.0
2029-11-20,100.0,0.0
2029-11-21,100.0,0.0
2029-11-22,100.0,0.0
2029-11-23,100.0,0.0
2029-11-24,100.0,0.0
2029-11-25,100.0,0.0
2029-11-26,100.0,0.0
2029-11-27,100.0,0.0
2029-11-28,100.0,0.0
2029-11-29,100.0,0.0
2029-11-30,100.0,0.0
2029-12-01,100.0,0.0
2029-12-02,100.0,0.0
2029-12-03,100.0,0.0
2029-12-04,100.0,0.0
2029-12-05,100.0,0.0
2029-12-06,100.0,0.0
2029-12-07,100.0,0.0
2029-12-08,100.0,0.0
2029-12-09,100.0,0.0
2029-12-10,100.0,0.0
2029-12-11,100.0,0.0
2029-12-12,100.0,0.0
2029-12-13,100.0,0.0
2029-12-14,100.0,0.0
2029-12-15,100.0,0.0
2029-12-16,100.0,0.0
2029-12-17,100.0,0.0
2029-12-18,100.0,0.0
2029-12-19,100.0,0.0
2029-12-20,100.0,0.0
2029-12-21,100.0,0.0
2029-12-22,100.0,0.0
2029-12-23,100.0,0.0
2029-12-24,100.0,0.0
2029-12-25,100.0,0.0
2029-12-26,100.0,0.0
2029-12-27,100.0,0.0
2029-12-28,100.0,0.0
2029-12-29,100.0,0.0
2029-12-30,100.0,0.0
2029-12-31,100.0,0.0
2030-01-01,100.0,0.0
2030-01-02,100.0,0.0
2030-01-03,100.0,0.0
2030-01-04,100.0,0.0
2030-01-05,100.0,0.0
2030-01-06,100.0,0.0
2030-01-07,100.0,0.0
2030-01-08,100.0,0.0
2030-01-09,100.0,0.0
2030-01-10,100.0,0.0
2030-01-11,100.0,0.0
2030-01-12,100.0,0.0
2030-01-13,100.0,0.0
2030-01-14,100.0,0.0
2030-01-15,100.0,0.0
2030-01-16,100.0,0.0
2030-01-17,100.0,0.0
2030-01-18,100.0,0.0
2030-01-19,100.0,0.0
2030-01-20,100.0,0.0
2030-01-21,100.0,0.0
2030-01-22,100.0,0.0
2030-01-23,100.0,0.0
2030-01-24,100.0,0.0
2030-01-25,100.0,0.0
2030-01-26,100.0,0.0
2030-01-27,100.0,0.0
2030-01-28,100.0,0.0
2030-01-29,100.0,0.0
2030-01-30,100.0,0.0
2030-01-31,100.0,0.0
2030-02-01,100.0,0.0
2030-02-02,100.0,0.0
2030-02-03,100.0,0.0
2030-02-04,100.0,0.0
2030-02-05,100.0,0.0
2030-02-06,100.0,0.0
2030-02-07,100.0,0.0
2030-02-08,100.0,0.0
2030-02-09,100.0,0.0
2030-02-10,100.0,0.0
2030-02-11,100.0,0.0
2030-02-12,100.0,0.0
2030-02-13,100.0,0.0
2030-02-14,100.0,0.0
2030-02-15,100.0,0.0
2030-02-16,100.0,0.0
2030-02-17,100.0,0.0
2030-02-18,100.0,0.0
2030-02-19,100.0,0.0
2030-02-20,100.0,0.0
2030-02-21,100.0,0.0
2030-02-22,100.0,0.0
2030-02-23,100.0,0.0
2030-02-24,100.0,0.0
2030-02-25,100.0,0.0
2030-02-26,100.0,0.0
2030-02-27,100.0,0.0
2030-02-28,100.0,0.0
2030-03-01,100.0,49.47
2030-03-02,100.0,49.47
2030-03-03,100.0,49.47
2030-03-04,100.0,49.47
2030-03-05,100.0,49.47
2030-03-06,100.0,49.47
2030-03-07,100.0,49.47
2030-03-08,100.0,49.47
2030-03-09,100.0,49.47
2030-03-10,100.0,49.47
2030-03-11,100.0,49.47
2030-03-12,100.0,49.47
2030-03-13,100.0,49.47
2030-03-14,100.0,49.47
2030-03-15,100.0,49.47
2030-03-16,100.0,49.47
2030-03-17,100.0,49.47
2030-03-18,100.0,49.47
2030-03-19,100.0,49.47
2030-03-20,100.0,49.47
2030-03-21,100.0,49.47
2030-03-22,100.0,49.47
2030-03-23,100.0,49.47
2030-03-24,100.0,49.47
2030-03-25,100.0,49.47
2030-03-26,100.0,49.47
2030-03-27,100.0,49.47
2030-03-28,100.0,49.47
2030-03-29,100.0,49.47
2030-03-30,100.0,49.47
2030-03-31,100.0,49.47
2030-04-01,,49.49
2030-04-02,,49.49
2030-04-03,,49.49
2030-04-04,,49.49
2030-04-05,,49.49
2030-04-06,,49.49
2030-04-07,,49.49
2030-04-08,,49.49
2030-04-09,,49.49
2030-04-10,,49.49
2030-04-11,,49.49
2030-04-12,,49.49
2030-04-13,,49.49
2030-04-14,,49.49
2030-04-15,,49.49
2030-04-16,,49.49
2030-04-17,,49.49
2030-04-18,,49.49
2030-04-19,,49.49
2030-04-20,,49.49
2030-04-21,,49.49
2030-04-22,,49.49
2030-04-23,,49.49
2030-04-24,,49.49
2030-04-25,,49.49
2030-04-26,,49.49
2030-04-27,,49.49
2030-04-28,,49.49
2030-04-29,,49.49
2030-04-30,,49.49
2030-05-01,100.0,49.5
2030-05-02,100.0,49.5
2030-05-03,100.0,49.5
2030-05-04,100.0,49.5
2030-05-05,100.0,49.5
2030-05-06,100.0,49.5
2030-05-07,100.0,49.5
2030-05-08,100.0,49.5
2030-05-09,100.0,49.5
2030-05-10,100.0,49.5
2030-05-11,100.0,49.5
2030-05-12,100.0,49.5
2030-05-13,100.0,49.5
2030-05-14,100.0,49.5
2030-05-15,100.0,49.5
2030-05-16,100.0,49.5
2030-05-17,100.0,49.5
2030-05-18,100.0,49.5
2030-05-19,100.0,49.5
2030-05-20,100.0,49.5
2030-05-21,100.0,49.5
2030-05-22,100.0,49.5
2030-05-23,100.0,49.5
2030-05-24,100.0,49.5
2030-05-25,100.0,49.5
2030-05-26,100.0,49.5
2030-05-27,100.0,49.5
2030-05-28,100.0,49.5
2030-05-29,100.0,49.5
2030-05-30,100.0,49.5
2030-05-31,100.0,49.5
2030-06-01,100.0,0.0
2030-06-02,100.0,0.0
2030-06-03,100.0,0.0
2030-06-04,100.0,0.0
2030-06-05,100.0,0.0
2030-06-06,100.0,0.0
2030-06-07,100.0,0.0
2030-06-08,100.0,0.0
2030-06-09,100.0,0.0
2030-06-10,100.0,0.0
2030-06-11,100.0,0.0
2030-06-12,100.0,0.0
2030-06-13,100.0,0.0
2030-06-14,100.0,0.0
2030-06-15,100.0,0.0
2030-06-16,100.0,0.0
2030-06-17,100.0,0.0
2030-06-18,100.0,0.0
2030-06-19,100.0,0.0
2030-06-20,100.0,0.0
2030-06-21,100.0,0.0
2030-06-22,100.0,0.0
2030-06-23,100.0,0.0
2030-06-24,100.0,0.0
2030-06-25,100.0,0.0
2030-06-26,100.0,0.0
2030-06-27,100.0,0.0
2030-06-28,100.0,0.0
2030-06-29,100.0,0.0
2030-06-30,100.0,0.0
2030-07-01,100.0,0.0
2030-07-02,100.0,0.0
2030-07-03,100.0,0.0
2030-07-04,100.0,0.0
2030-07-05,100.0,0.0
2030-07-06,100.0,0.0
2030-07-07,100.0,0.0
2030-07-08,100.0,0.0
2030-07-09,100.0,0.0
2030-07-10,100.0,0.0
2030-07-11,100.0,0.0
2030-07-12,100.0,0.0
2030-07-13,100.0,0.0
2030-07-14,100.0,0.0
2030-07-15,100.0,0.0
2030-07-16,100.0,0.0
2030-07-17,100.0,0.0
2030-07-18,100.0,0.0
2030-07-19,100.0,0.0
2030-07-20,100.0,0.0
2030-07-21,100.0,0.0
2030-07-22,100.0,0.0
2030-07-23,100.0,0.0
2030-07-24,100.0,0.0
2030-07-25,100.0,0.0
2030-07-26,100.0,0.0
2030-07-27,100.0,0.0
2030-07-28,100.0,0.0
2030-07-29,100.0,0.0
2030-07-30,100.0,0.0
2030-07-31,100.0,0.0
2030-08-01,100.0,0.0
2030-08-02,100.0,0.0
2030-08-03,100.0,0.0
2030-08-04,100.0,0.0
2030-08-05,100.0,0.0
2030-08-06,100.0,0.0
2030-08-07,100.0,0.0
2030-08-08,100.0,0.0
2030-08-09,100.0,0.0
2030-08-10,100.0,0.0
2030-08-11,100.0,0.0
2030-08-12,100.0,0.0
2030-08-13,100.0,0.0
2030-08-14,100.0,0.0
2030-08-15,100.0,0.0
2030-08-16,100.0,0.0
2030-08-17,100.0,0.0
2030-08-18,100.0,0.0
2030-08-19,100.0,0.0
2030-08-20,100.0,0.0
2030-08-21,100.0,0.0
2030-08-22,100.0,0.0
2030-08-23,100.0,0.0
2030-08-24,100.0,0.0
2030-08-25,100.0,0.0
2030-08-26,100.0,0.0
2030-08-27,100.0,0.0
2030-08-28,100.0,0.0
2030-08-29,100.0,0.0
2030-08-30,100.0,0.0
2030-08-31,100.0,0.0
2030-09-01,100.0,0.0
2030-09-02,100.0,0.0
2030-09-03,100.0,0.0
2030-09-04,100.0,0.0
2030-09-05,100.0,0.0
2030-09-06,100.0,0.0
2030-09-07,100.0,0.0
2030-09-08,100.0,0.0
2030-09-09,100.0,0.0
2030-09-10,100.0,0.0
2030-09-11,100.0,0.0
2030-09-12,100.0,0.0
2030-09-13,100.0,0.0
2030-09-14,100.0,0.0
2030-09-15,100.0,0.0
2030-09-16,100.0,0.0
2030-09-17,100.0,0.0
2030-09-18,100.0,0.0
2030-09-19,100.0,0.0
2030-09-20,100.0,0.0
2030-09-21,100.0,0.0
2030-09-22,100.0,0.0
2030-09-23,100.0,0.0
2030-09-24,100.0,0.0
2030-09-25,100.0,0.0
2030-09-26,100.0,0.0
2030-09-27,100.0,0.0
2030-09-28,100.0,0.0
2030-09-29,100.0,0.0
2030-09-30,100.0,0.0
2030-10-01,100.0,0.0
2030-10-02,100.0,0.0
2030-10-03,100.0,0.0
2030-10-04,100.0,0.0
2030-10-05,100.0,0.0
2030-10-06,100.0,0.0
2030-10-07,100.0,0.0
2030-10-08,100.0,0.0
2030-10-09,100.0,0.0
2030-10-10,100.0,0.0
2030-10-11,100.0,0.0
2030-10-12,100.0,0.0
2030-10-13,100.0,0.0
2030-10-14,100.0,0.0
2030-10-15,100.0,0.0
2030-10-16,100.0,0.0
2030-10-17,100.0,0.0
2030-10-18,100.0,0.0
2030-10-19,100.0,0.0
2030-10-20,100.0,0.0
2030-10-21,100.0,0.0
2030-10-22,100.0,0.0
2030-10-23,100.0,0.0
2030-10-24,100.0,0.0
2030-10-25,100.0,0.0
2030-10-26,100.0,0.0
2030-10-27,100.0,0.0
2030-10-28,100.0,0.0
2030-10-29,100.0,0.0
2030-10-30,100.0,0.0
2030-10-31,100.0,0.0
2030-11-01,100.0,0.0
2030-11-02,100.0,0.0
2030-11-03,100.0,0.0
2030-11-04,100.0,0.0
2030-11-05,100.0,0.0
2030-11-06,100.0,0.0
2030-11-07,100.0,0.0
2030-11-08,100.0,0.0
2030-11-09,100.0,0.0
2030-11-10,100.0,0.0
2030-11-11,100.0,0.0
2030-11-12,100.0,0.0
2030-11-13,100.0,0.0
2030-11-14,100.0,0.0
2030-11-15,100.0,0.0
2030-11-16,100.0,0.0
2030-11-17,100.0,0.0
2030-11-18,100.0,0.0
2030-11-19,100.0,0.0
2030-11-20,100.0,0.0
2030-11-21,100.0,0.0
2030-11-22,100.0,0.0
2030-11-23,100.0,0.0
2030-11-24,100.0,0.0
2030-11-25,100.0,0.0
2030-11-26,100.0,0.0
2030-11-27,100.0,0.0
2030-11-28,100.0,0.0
2030-11-29,100.0,0.0
2030-11-30,100.0,0.0
2030-12-01,100.0,0.0
2030-12-02,100.0,0.0
2030-12-03,100.0,0.0
2030-12-04,100.0,0.0
2030-12-05,100.0,0.0
2030-12-06,100.0,0.0
2030-12-07,100.0,0.0
2030-12-08,100.0,0.0
2030-12-09,100.0,0.0
2030-12-10,100.0,0.0
